등록일,판매처,채널,거미,가격,재고,URL
2026-06-03,타란센터,자사몰,베네수엘라 썬타이거,60000,재고,https://tarancenter.com/product/썬타이거-암컷-준성체-초-10cm-psalmopoeus-irminia/1574/category/51/display/1/
2026-06-03,타란센터,네이버,베네수엘라 썬타이거,60000,재고,https://smartstore.naver.com/tarancenter/products/13621752710
2026-06-03,타란센터,자사몰,샬렘오너멘탈,120000,품절,https://tarancenter.com/product/샬렘-오너멘탈-암컷-준성체-초-10cm-poecilotheria-formosa/1575/category/51/display/1/
2026-06-03,타란센터,네이버,샬렘오너멘탈,120000,품절,https://smartstore.naver.com/tarancenter/products/13621756169
2026-06-03,타란센터,네이버,아마조니카 나무위성 타란튤라,150000,품절,https://smartstore.naver.com/tarancenter/products/13621760053
2026-06-03,타란센터,자사몰,아마조니카 핑크토,150000,품절,https://tarancenter.com/product/아마조니카-핑크토-암컷-아성체-8cm-avicularia-variegata/1576/category/51/display/1/
2026-06-03,타란센터,네이버,아프리칸 혼드바분,50000,재고,https://smartstore.naver.com/tarancenter/products/13621750261
2026-06-03,타란툴라코리아,자사몰,자이언트그린 핑크토 퀴타라 리버,30000,재고,https://tarantulakorea.com/product/자이언트그린-핑크토-퀴타라-리버-유체/395/category/67/display/1/
2026-06-03,타란툴라코리아,자사몰,티그리스 오너멘탈 타이거,35000,재고,https://tarantulakorea.com/product/티그리스-오너멘탈-타이거-유체/140/category/67/display/1/
2026-06-07,타란툴라코리아,네이버,럼동 타이거,18000,재고,https://smartstore.naver.com/tarantulakorea/products/10625857059
