등록일,판매처,채널,거미,가격,재고,URL
2026-06-03,타란센터,네이버,발할라 어스타이거,34000,재고,https://smartstore.naver.com/tarancenter/products/13036660209
2026-06-03,타란센터,자사몰,베네수엘라 썬타이거,60000,재고,https://tarancenter.com/product/썬타이거-암컷-준성체-초-10cm-psalmopoeus-irminia/1574/category/51/display/1/
2026-06-03,타란센터,네이버,베네수엘라 썬타이거,60000,재고,https://smartstore.naver.com/tarancenter/products/13621752710
2026-06-03,타란센터,자사몰,샬렘오너멘탈,120000,품절,https://tarancenter.com/product/샬렘-오너멘탈-암컷-준성체-초-10cm-poecilotheria-formosa/1575/category/51/display/1/
2026-06-03,타란센터,네이버,샬렘오너멘탈,120000,품절,https://smartstore.naver.com/tarancenter/products/13621756169
2026-06-03,타란센터,네이버,아마조니카 나무위성 타란튤라,150000,품절,https://smartstore.naver.com/tarancenter/products/13621760053
2026-06-03,타란센터,자사몰,아마조니카 핑크토,150000,품절,https://tarancenter.com/product/아마조니카-핑크토-암컷-아성체-8cm-avicularia-variegata/1576/category/51/display/1/
2026-06-03,타란센터,네이버,아프리칸 혼드바분,50000,재고,https://smartstore.naver.com/tarancenter/products/13621750261
2026-06-03,타란툴라코리아,자사몰,자이언트그린 핑크토 퀴타라 리버,30000,재고,https://tarantulakorea.com/product/자이언트그린-핑크토-퀴타라-리버-유체/395/category/67/display/1/
2026-06-03,타란툴라코리아,자사몰,티그리스 오너멘탈 타이거,35000,재고,https://tarantulakorea.com/product/티그리스-오너멘탈-타이거-유체/140/category/67/display/1/
2026-06-06,거미랑,네이버,페루비안 블론드,45000,재고,https://smartstore.naver.com/terrafactory/products/5735348315
2026-06-07,타란툴라코리아,네이버,럼동 타이거,18000,재고,https://smartstore.naver.com/tarantulakorea/products/10625857059
2026-06-10,더쥬 송파점,네이버,더쥬 송파점 5월 절지류 랜덤박스,15000,재고,https://smartstore.naver.com/tzblossom/products/11821343821
2026-06-10,더쥬 송파점,네이버,아포노펠마 무레이,220000,재고,https://smartstore.naver.com/tzblossom/products/13627513966
2026-06-10,더쥬 송파점,네이버,카메룬 레드 바분,4000,재고,https://smartstore.naver.com/tzblossom/products/9866081373
2026-06-10,타란센터,네이버,크세네스티스 임마니스 콜럼비안렛서블랙 롱헤어 타란튤라,84000,품절,https://smartstore.naver.com/tarancenter/products/11403464314
2026-06-12,거미랑,자사몰,나마쿠아랜드 실버바분,15000,재고,https://theraphosidae.co.kr/product/나마쿠아랜드-실버바분-ex나마쿠엔시스-유체/2032/category/24/display/1/
2026-06-12,거미랑,자사몰,러스티 브라운 버드이터,30000,재고,https://theraphosidae.co.kr/product/러스티-브라운-버드이터-유체/2031/category/24/display/1/
2026-06-12,거미랑,자사몰,크세네스티스 spec. 화이트,380000,재고,https://theraphosidae.co.kr/product/크세네스티스-spec-화이트-7-8cm한쌍/2034/category/24/display/1/
2026-06-12,거미랑,자사몰,크세네스티스 메가스코풀라,320000,재고,https://theraphosidae.co.kr/product/크세네스티스-spec-메가스코풀라-dw-7-9cm암컷/2035/category/24/display/1/
2026-06-12,거미랑,자사몰,포르믹토푸스 cf.아트리코마투스 몬테 크리스티,52000,재고,https://theraphosidae.co.kr/product/포르믹토푸스-cf아트리코마투스-몬테-크리스티-5-7cm한쌍/2033/category/24/display/1/
2026-06-13,거미랑,네이버,크세네스티스 spec. 화이트,380000,재고,https://smartstore.naver.com/terrafactory/products/13630870113
2026-06-13,거미랑,네이버,크세네스티스 메가스코풀라,320000,재고,https://smartstore.naver.com/terrafactory/products/13630871333
2026-06-13,거미랑,네이버,포르믹토푸스 몬테크리스티,52000,재고,https://smartstore.naver.com/terrafactory/products/13630868063
2026-06-13,더쥬 송파점,네이버,레드슬레이트 오너멘탈,35000,재고,https://smartstore.naver.com/tzblossom/products/8801236213
2026-06-13,더쥬 송파점,네이버,샬렘 오너멘탈,25000,재고,https://smartstore.naver.com/tzblossom/products/9344153412
2026-06-16,타란센터,네이버,아마존 사파이어 핑크토,25000,재고,https://smartstore.naver.com/tarancenter/products/13635363138
