날짜,판매처,채널,거미,이전가,변동가,증감액,증감률(%),방향,URL
2026-06-01,거미랑,네이버,발할라 어스타이거,32000,35000,3000,9,인상,https://smartstore.naver.com/terrafactory/products/12430210626
2026-06-01,거미랑,네이버,상히에 아일랜드 블랙,9000,14000,5000,56,인상,https://smartstore.naver.com/terrafactory/products/10792378601
2026-06-01,거미랑,네이버,어셈 다크폼 보츠와나 짐바브웨,35000,29000,-6000,17,인하,https://smartstore.naver.com/terrafactory/products/12455863593
2026-06-01,거미랑,네이버,코스타리칸 레드렉,139000,165000,26000,19,인상,https://smartstore.naver.com/terrafactory/products/12853591174
2026-06-01,거미랑,네이버,타라포토 핑크토,39000,45000,6000,15,인상,https://smartstore.naver.com/terrafactory/products/7547228686
2026-06-01,거미랑,네이버,팜포베테우스 투칸,66000,75000,9000,14,인상,https://smartstore.naver.com/terrafactory/products/12540685665
2026-06-01,거미랑,네이버,프린지드 오너멘탈,10000,15000,5000,50,인상,https://smartstore.naver.com/terrafactory/products/5757617115
2026-06-01,타란툴라코리아,네이버,매홍손 타이거,20000,30000,10000,50,인상,https://smartstore.naver.com/tarantulakorea/products/13256966467
2026-06-01,타란툴라코리아,네이버,바크마 어스타이거,10000,15000,5000,50,인상,https://smartstore.naver.com/tarantulakorea/products/10625747366
2026-06-01,타란툴라코리아,네이버,바히아 퍼플레드,25000,38000,13000,52,인상,https://smartstore.naver.com/tarantulakorea/products/13396817243
2026-06-01,타란툴라코리아,네이버,보르네오 블랙,7000,10000,3000,43,인상,https://smartstore.naver.com/tarantulakorea/products/10584503368
2026-06-01,타란툴라코리아,네이버,스트레이트 혼드바분,3000,5000,2000,67,인상,https://smartstore.naver.com/tarantulakorea/products/10622065790
2026-06-01,타란툴라코리아,네이버,아이보리오너멘탈 로우랜드,50000,55000,5000,10,인상,https://smartstore.naver.com/tarantulakorea/products/10598632503
2026-06-01,타란툴라코리아,네이버,칠로 블루 베트남 블루,3000,5000,2000,67,인상,https://smartstore.naver.com/tarantulakorea/products/10537113713
2026-06-01,타란툴라코리아,네이버,킹바분,13000,18000,5000,38,인상,https://smartstore.naver.com/tarantulakorea/products/10644920809
2026-06-01,타란툴라코리아,네이버,판케이 타이거,23000,35000,12000,52,인상,https://smartstore.naver.com/tarantulakorea/products/10596186619
2026-06-01,타란툴라코리아,네이버,팜포베테우스 마스카라,25000,30000,5000,20,인상,https://smartstore.naver.com/tarantulakorea/products/10567776627
2026-06-01,타란툴라코리아,네이버,팜포베테우스 에콰도르 퍼플 에콰퍼플,25000,35000,10000,40,인상,https://smartstore.naver.com/tarantulakorea/products/10571883540
2026-06-02,타란센터,자사몰,발할라 어스타이거,50000,35000,-15000,30,인하,https://tarancenter.com/product/발할라-어스타이거-유체-omothymus-sp-valhalla/1554/category/51/display/1/
2026-06-03,타란센터,네이버,발할라 어스타이거,50000,35000,-15000,30,인하,https://smartstore.naver.com/tarancenter/products/13036660209
2026-06-06,거미랑,네이버,퍼플제브라,12000,15000,3000,25,인상,https://smartstore.naver.com/terrafactory/products/12430152001
2026-06-06,거미랑,네이버,페루비안 블론드,29000,45000,16000,55,인상,https://smartstore.naver.com/terrafactory/products/5735348315
2026-06-06,타란센터,네이버,발할라 어스타이거,35000,50000,15000,43,인상,https://smartstore.naver.com/tarancenter/products/13036660209
2026-06-06,타란센터,네이버,크세네스티스 임마니스 콜럼비안렛서블랙 롱헤어 타란튤라,84000,85000,1000,1,인상,https://smartstore.naver.com/tarancenter/products/11403464314
2026-06-06,타란툴라코리아,네이버,자이언트 골덴니,15000,20000,5000,33,인상,https://smartstore.naver.com/tarantulakorea/products/10557003067
