날짜,판매처,채널,거미,이전가,변동가,증감액,증감률(%),방향,URL
2026-06-01,거미랑,네이버,발할라 어스타이거,32000,35000,3000,9,인상,https://smartstore.naver.com/terrafactory/products/12430210626
2026-06-01,거미랑,네이버,상히에 아일랜드 블랙,9000,14000,5000,56,인상,https://smartstore.naver.com/terrafactory/products/10792378601
2026-06-01,거미랑,네이버,어셈 다크폼 보츠와나 짐바브웨,35000,29000,-6000,17,인하,https://smartstore.naver.com/terrafactory/products/12455863593
2026-06-01,거미랑,네이버,코스타리칸 레드렉,139000,165000,26000,19,인상,https://smartstore.naver.com/terrafactory/products/12853591174
2026-06-01,거미랑,네이버,타라포토 핑크토,39000,45000,6000,15,인상,https://smartstore.naver.com/terrafactory/products/7547228686
2026-06-01,거미랑,네이버,팜포베테우스 투칸,66000,75000,9000,14,인상,https://smartstore.naver.com/terrafactory/products/12540685665
2026-06-01,거미랑,네이버,프린지드 오너멘탈,10000,15000,5000,50,인상,https://smartstore.naver.com/terrafactory/products/5757617115
2026-06-01,타란툴라코리아,네이버,매홍손 타이거,20000,30000,10000,50,인상,https://smartstore.naver.com/tarantulakorea/products/13256966467
2026-06-01,타란툴라코리아,네이버,바크마 어스타이거,10000,15000,5000,50,인상,https://smartstore.naver.com/tarantulakorea/products/10625747366
2026-06-01,타란툴라코리아,네이버,바히아 퍼플레드,25000,38000,13000,52,인상,https://smartstore.naver.com/tarantulakorea/products/13396817243
2026-06-01,타란툴라코리아,네이버,보르네오 블랙,7000,10000,3000,43,인상,https://smartstore.naver.com/tarantulakorea/products/10584503368
2026-06-01,타란툴라코리아,네이버,스트레이트 혼드 바분,3000,5000,2000,67,인상,https://smartstore.naver.com/tarantulakorea/products/10622065790
2026-06-01,타란툴라코리아,네이버,아이보리 오너멘탈 로우랜드,50000,55000,5000,10,인상,https://smartstore.naver.com/tarantulakorea/products/10598632503
2026-06-01,타란툴라코리아,네이버,칠로 블루 베트남 블루,3000,5000,2000,67,인상,https://smartstore.naver.com/tarantulakorea/products/10537113713
2026-06-01,타란툴라코리아,네이버,킹바분,13000,18000,5000,38,인상,https://smartstore.naver.com/tarantulakorea/products/10644920809
2026-06-01,타란툴라코리아,네이버,판케이 타이거,23000,35000,12000,52,인상,https://smartstore.naver.com/tarantulakorea/products/10596186619
2026-06-01,타란툴라코리아,네이버,팜포베테우스 마스카라,25000,30000,5000,20,인상,https://smartstore.naver.com/tarantulakorea/products/10567776627
2026-06-01,타란툴라코리아,네이버,팜포베테우스 에콰도르 퍼플 에콰퍼플,25000,35000,10000,40,인상,https://smartstore.naver.com/tarantulakorea/products/10571883540
2026-06-06,거미랑,네이버,퍼플제브라,12000,15000,3000,25,인상,https://smartstore.naver.com/terrafactory/products/12430152001
2026-06-07,타란툴라코리아,네이버,구티 사파이어 오너멘탈,30000,25000,-5000,17,인하,https://smartstore.naver.com/tarantulakorea/products/10592441619
2026-06-07,타란툴라코리아,네이버,스트레이트 혼드 바분,5000,2500,-2500,50,인하,https://smartstore.naver.com/tarantulakorea/products/10622065790
2026-06-07,타란툴라코리아,네이버,아프리카 혼드 바분,3500,2500,-1000,29,인하,https://smartstore.naver.com/tarantulakorea/products/10621730188
2026-06-07,타란툴라코리아,네이버,안틸레스 핑크토,10000,5000,-5000,50,인하,https://smartstore.naver.com/tarantulakorea/products/10561085534
2026-06-07,타란툴라코리아,네이버,팜포베테우스 spec. 마찰라,30000,25000,-5000,17,인하,https://smartstore.naver.com/tarantulakorea/products/10571542631
2026-06-07,타란툴라코리아,네이버,프샬 멕시코 하프 앤 하프 빅토리,35000,25000,-10000,29,인하,https://smartstore.naver.com/tarantulakorea/products/10596223960
2026-06-07,타란툴라코리아,네이버,흑표범 슬라웨시 블랙,30000,25000,-5000,17,인하,https://smartstore.naver.com/tarantulakorea/products/10593230045
